XGCSWGS84,YGCSWGS84,Cluster_DBSCAN,geometry
13.42396899,52.53910744,1,POINT (13.42396899 52.53910744)
13.3625878,52.49914639,1,POINT (13.3625878 52.49914639)
13.39992702,52.51104054,1,POINT (13.39992702 52.51104054)
13.28384512,52.52984077,1,POINT (13.28384512 52.52984077)
13.45551702,52.4616266,1,POINT (13.45551702 52.4616266)
13.31632696,52.51212916,1,POINT (13.31632696 52.51212916)
13.29857167,52.53414287,1,POINT (13.29857167 52.53414287)
13.45369522,52.51606764,1,POINT (13.45369522 52.51606764)
13.30770592,52.51175511,1,POINT (13.30770592 52.51175511)
13.3960456,52.42328254,1,POINT (13.3960456 52.42328254)
13.38896468,52.49754575,1,POINT (13.38896468 52.49754575)
13.29150086,52.4934075,1,POINT (13.29150086 52.4934075)
13.40517361,52.52031985,1,POINT (13.40517361 52.52031985)
13.37452489,52.50257126,1,POINT (13.37452489 52.50257126)
13.4323079,52.53536007,1,POINT (13.4323079 52.53536007)
13.45247843,52.51840854,1,POINT (13.45247843 52.51840854)
13.24237077,52.50753431,1,POINT (13.24237077 52.50753431)
13.44456493,52.54559323,1,POINT (13.44456493 52.54559323)
13.55450777,52.55781022,1,POINT (13.55450777 52.55781022)
13.49688265,52.46522384,1,POINT (13.49688265 52.46522384)
13.43881168,52.51726158,1,POINT (13.43881168 52.51726158)
13.38278766,52.43942538,1,POINT (13.38278766 52.43942538)
13.44571838,52.54611943,1,POINT (13.44571838 52.54611943)
13.30031566,52.54784546,1,POINT (13.30031566 52.54784546)
13.36254975,52.56739789,1,POINT (13.36254975 52.56739789)
13.24856748,52.50791945,1,POINT (13.24856748 52.50791945)
13.45885426,52.51523806,1,POINT (13.45885426 52.51523806)
13.36593503,52.55459007,1,POINT (13.36593503 52.55459007)
13.26056446,52.43498453,1,POINT (13.26056446 52.43498453)
13.40476803,52.51988376,1,POINT (13.40476803 52.51988376)
13.36368451,52.56520493,1,POINT (13.36368451 52.56520493)
13.44864808,52.50222726,1,POINT (13.44864808 52.50222726)
13.51524979,52.4527044,1,POINT (13.51524979 52.4527044)
13.31470485,52.51202144,1,POINT (13.31470485 52.51202144)
13.30508345,52.51158411,1,POINT (13.30508345 52.51158411)
13.32322284,52.51256741,1,POINT (13.32322284 52.51256741)
13.35612777,52.4735449,1,POINT (13.35612777 52.4735449)
13.38926219,52.49749705,1,POINT (13.38926219 52.49749705)
13.23823673,52.43296739,1,POINT (13.23823673 52.43296739)
13.47749391,52.51350874,1,POINT (13.47749391 52.51350874)
13.5517891,52.50918022,1,POINT (13.5517891 52.50918022)
13.41232218,52.54109314,1,POINT (13.41232218 52.54109314)
13.28507685,52.5093387,1,POINT (13.28507685 52.5093387)
13.29726872,52.51107109,1,POINT (13.29726872 52.51107109)
13.42008463,52.52105395,1,POINT (13.42008463 52.52105395)
13.36933959,52.53931944,1,POINT (13.36933959 52.53931944)
13.28148097,52.52280048,1,POINT (13.28148097 52.52280048)
13.43159481,52.62454612,1,POINT (13.43159481 52.62454612)
13.46059988,52.49400855,1,POINT (13.46059988 52.49400855)
13.43243579,52.53626638,1,POINT (13.43243579 52.53626638)
13.41900354,52.53990224,1,POINT (13.41900354 52.53990224)
13.41461757,52.55620801,1,POINT (13.41461757 52.55620801)
13.479007,52.62734128,1,POINT (13.479007 52.62734128)
13.59130254,52.50508482,1,POINT (13.59130254 52.50508482)
13.41480148,52.55480048,1,POINT (13.41480148 52.55480048)
13.44760011,52.50363654,1,POINT (13.44760011 52.50363654)
13.45375155,52.5159021,1,POINT (13.45375155 52.5159021)
13.38578759,52.48116406,1,POINT (13.38578759 52.48116406)
13.40141086,52.51140634,1,POINT (13.40141086 52.51140634)
13.3144515,52.47939602,1,POINT (13.3144515 52.47939602)
13.38870092,52.49814918,1,POINT (13.38870092 52.49814918)
13.44657853,52.52763651,1,POINT (13.44657853 52.52763651)
13.39841493,52.57773257,1,POINT (13.39841493 52.57773257)
13.33993542,52.4785949,1,POINT (13.33993542 52.4785949)
13.41845302,52.52411536,1,POINT (13.41845302 52.52411536)
13.42822031,52.54713839,1,POINT (13.42822031 52.54713839)
13.30136557,52.51115133,1,POINT (13.30136557 52.51115133)
13.34701669,52.57885248,1,POINT (13.34701669 52.57885248)
13.3673288,52.55145879,1,POINT (13.3673288 52.55145879)
13.24883772,52.62100705,1,POINT (13.24883772 52.62100705)
13.32081977,52.51256808,1,POINT (13.32081977 52.51256808)
13.28593879,52.49465001,1,POINT (13.28593879 52.49465001)
13.33536292,52.46500919,1,POINT (13.33536292 52.46500919)
13.37704489,52.50179546,1,POINT (13.37704489 52.50179546)
13.4185225,52.52368979,1,POINT (13.4185225 52.52368979)
13.44425959,52.54546767,1,POINT (13.44425959 52.54546767)
